Selected, Selected data, Id
FileName, File Name, File
Type, Image Type, Type
N_features, Number of detected features, N features
AverageCD, Average CD, Average CD
CDstd, CD standard deviation, CD std
AverageLWR_3s,,
AverageLWR_PSD,,
AverageLWR_PSD_unbiased,,
AverageLWR_PSD_fit_unbiased,,
AverageLER_3s,,
AverageLER_PSD,,
AverageLER_PSD_unbiased,,
AverageLER_PSD_fit_unbiased,,
AverageLER_le_3s,,
AverageLER_le_PSD,,
AverageLER_le_PSD_unbiased,,
AverageLER_le_PSD_fit_unbiased,,
AverageLER_te_3s,,
AverageLER_te_PSD,,
AverageLER_te_PSD_unbiased,,
AverageLER_te_PSD_fit_unbiased,,
AlphaLWR,,
AlphaLER,,
AlphaLERle,,
AlphaLERte,,
Cl_LWR,,
Cl_LER,,
Cl_LERle,,
Cl_LERte,,
Spikes,,
Bridges,,
Pinches,,
Undetected,,
LPE_std,,
LPE_p2v,,
AverageMajorAA,,
AverageMajorAx,,
AverageMinorAx,,
MajorAAstd,,
MajorAxSTD,,
MinorAxSTD,,
AverageRadius,,
RadiusSTD,,
AverageProfileSTD,,
GridXstd,,
GridYstd,,
Hpitch,,
Vpitch,,
